,jokes,whtsapp_lnk
0,"Is Garmi Me Subha Ka Nikla Hua Agar Shaam Ko Ghar Aaye To Usay ""Bhoola"" Nahi Balke ""Bhuna Hua"" Kehty Hen..!","https://api.whatsapp.com/send?text=Is%20Garmi%20Me

Subha%20Ka%20Nikla%20Hua

Agar%20Shaam%20Ko%20Ghar%20Aaye%20To

Usay%20"
1,"What's the similarity between Income Tax and a Caller Tune? . .. ... In both the cases, one pays the money and others enjoy.","https://api.whatsapp.com/send?text=What's%20the%20similarity%20between%20Income%20Tax%20and%20a%20Caller%20Tune?
.
..
...
In%20both%20the%20cases,%20one%20pays%20the%20money%20and%20others%20enjoy."
2,Saying Funny jokes boost up the people immunity process as body relaxes after every good moment of your life.,https://api.whatsapp.com/send?text=Saying%20Funny%20jokes%20boost%20up%20the%20people%20immunity%20process%20as%20body%20relaxes%20after%20every%20good%20moment%20of%20your%20life.
3,"Married men live longer than single men do, but, married men are a lot more willing to die.","https://api.whatsapp.com/send?text=Married%20men%20live%20longer%20than%20single%20men%20do,
but,
married%20men%20are%20a%20lot%20more%20willing%20to%20die."
4,"A man in Hell asked Devil: Can I make a call to my Wife? After making call he asked How much pay... Devil: Nothing, hell to hell is free... :-)","https://api.whatsapp.com/send?text=A%20man%20in%20Hell%20asked%20Devil:%20Can%20I%20make%20a%20call%20to%20my%20Wife?
After%20making%20call%20he%20asked%20How%20much%20pay...
Devil:%20Nothing,%20hell%20to%20hell%20is%20free...%20:-)"
5,"Laughing is the best the medicine. But, if you are laughing without a reason, you need medicine","https://api.whatsapp.com/send?text=Laughing%20is%20the%20best%20the%20medicine.
But,
if%20you%20are%20laughing%20without%20a%20reason,
you%20need%20medicine"
6,"A man in Hell asked Devil: Can I make a call to my Wife? After making call he asked How much pay... Devil: Nothing, hell to hell is free...","https://api.whatsapp.com/send?text=A%20man%20in%20Hell%20asked%20Devil:%20Can%20I%20make%20a%20call%20to%20my%20Wife?
After%20making%20call%20he%20asked%20How%20much%20pay...
Devil:%20Nothing,%20hell%20to%20hell%20is%20free..."
7,"Agr Koi Apky DiL py Dastak Dy To Foran Darwaza Nai Kholna chahye, ku Ky Kuch Logon Ki Aadat Bachon Jesi Hoti Hai, Dastak Dy Ky Bhag Jate Hain. ","https://api.whatsapp.com/send?text=Agr%20Koi%20Apky%20DiL%20py%20Dastak%20Dy%20To%20Foran%20Darwaza%20Nai%20Kholna%20chahye,

ku%20Ky%20Kuch%20Logon%20Ki%20Aadat%20Bachon%20Jesi%20Hoti%20Hai,

Dastak%20Dy%20Ky%20Bhag%20Jate%20Hain.
"
8,"Duniya K Ziyada-tar Currency Notes Per Aadmi Ki Tasveer Hoti Hai, Magar,, In Per Qabza Aurton Ka Hi Hota Hai.. ","https://api.whatsapp.com/send?text=Duniya%20K%20Ziyada-tar%20Currency%20Notes%20Per

Aadmi%20Ki%20Tasveer%20Hoti%20Hai,

Magar,,

In%20Per%20Qabza%20Aurton%20Ka%20Hi%20Hota%20Hai..%20"
9,Admi: Mohabt Shadi Se Pehle Honi Chahye Ya shadi ke Bad Me? . Boy: Mohabt Shadi Se Pehle Ho Ya Shadi k Bad Bus Uski Khbar Bv Ko Nhi Honi Chye,"https://api.whatsapp.com/send?text=Admi:
Mohabt%20Shadi%20Se%20Pehle%20Honi%20Chahye%20Ya%20shadi%20ke%20Bad%20Me?
.
Boy:%20Mohabt%20Shadi%20Se%20Pehle%20Ho%20Ya%20Shadi%20k%20Bad
Bus
Uski%20Khbar%20Bv%20Ko%20Nhi%20Honi%20Chye"
10,"Aaina Kehta Hai, Kehna To Nahi Chahiye Tha.. Tu Abhi Tak Zinda Hai?? Rehna To Nahi Chahiye Tha.. :-D","https://api.whatsapp.com/send?text=Aaina%20Kehta%20Hai,
Kehna%20To%20Nahi%20Chahiye%20Tha..

Tu%20Abhi%20Tak%20Zinda%20Hai??
Rehna%20To%20Nahi%20Chahiye%20Tha..%20:-D"
11,Mujhse Woh Kehti Hai k Tumhari Zindagi ko Jannat Bana dungi . . . . . . . . . . Banana Usko ‘Maggie’ bhi nahi aata … . . Per Confidence Dekho Bandi ka ;-):-D,"https://api.whatsapp.com/send?text=Mujhse%20Woh%20Kehti%20Hai%20k%20Tumhari%20Zindagi%20ko%20Jannat%20Bana%20dungi

.

.

.%20.%20.%20.%20.%20.%20.%20.

Banana%20Usko%20‘Maggie’%20bhi%20nahi%20aata%20…

.

.

%20

Per%20Confidence%20Dekho%20Bandi%20ka%20;-):-D"
12,Dost: Yar Doctor ye Q Pochty Hain K Subah kya Khaya Raat kya Khaya.? . 2nd Dost: Yaar is Se Mareez ki Maali Halat ka Pata lag Jata Hain.,"https://api.whatsapp.com/send?text=Dost:%20Yar%20Doctor%20ye%20Q%20Pochty%20Hain%20K
Subah%20kya%20Khaya%20Raat%20kya%20Khaya.?

.

2nd%20Dost:%20Yaar%20is%20Se%20Mareez%20ki%20Maali
Halat%20ka%20Pata%20lag%20Jata%20Hain."
13,"1 admi ne FM radio pe call ki Admi: Mujay 1 batwa mila hai jis me boht sary paisy, credit cards aur NIC card hai. Address lakki marwat ka hai. Host: To ap unhein batwa wapis dena chahty hn? Admi:Hum ap ko pagal lagte hy, Usay meri taraf se 1 sad Song suna den.","https://api.whatsapp.com/send?text=1%20admi%20ne%20FM%20radio%20pe%20call%20ki

Admi:%20Mujay%201%20batwa%20mila%20hai%20jis%20me%20boht%20sary%20paisy,%20credit%20cards%20aur%20NIC%20card%20hai.%20Address%20lakki%20marwat%20ka%20hai.

Host:%20To%20ap%20unhein%20batwa%20wapis%20dena%20chahty%20hn?

Admi:Hum%20ap%20ko%20pagal%20lagte%20hy,%20
Usay%20meri%20taraf%20se%201%20sad%20Song%20suna%20den."
14,Jin: Kiy hukam hai mere aaka? Student: Mere taraf se perhye tum ker lo Jin: Aaka.. Hukum karo bakwas nai :D ;) :D,"https://api.whatsapp.com/send?text=Jin:%20Kiy%20hukam%20hai%20mere%20aaka?

Student:%20Mere%20taraf%20se%20perhye%20tum%20ker%20lo

Jin:%20Aaka..%20Hukum%20karo%20bakwas%20nai%20:D%20;)%20:D"
15,Banta: Tume itna kisne mara? Santa: Mere padosi ka bacha gum gya! Banta: To tumne aisa kya keh diya? ... ? ? ? ? ? ? ? ? ? ? ? Santa: Maine kaha Google pe Search karle !,"https://api.whatsapp.com/send?text=Banta:%20Tume%20itna%20kisne%20mara?
Santa:%20Mere%20padosi%20ka%20bacha%20gum%20gya!
Banta:%20To%20tumne%20aisa%20kya%20keh%20diya?%20...
?
?
?
?
?
?
?
?
?
?
?
Santa:%20Maine%20kaha%20Google%20pe%20Search%20karle%20!"
16,Rab kare aap ko sab miley Himmat Izzat Rupaiya Bungalow Style Smile Personality Popularity Car Pyar . . . . . . . . . . . . . . . . . . . . . . . . . . Ab bhi button daba rahe ho LAALCHI.,"https://api.whatsapp.com/send?text=Rab%20kare%20aap%20ko%20sab%20miley
Himmat
Izzat
Rupaiya
Bungalow
Style
Smile
Personality
Popularity
Car
Pyar
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
Ab%20bhi%20button%20daba%20rahe%20ho
LAALCHI."
17,"If it seems easy, You are doing it wrong.","https://api.whatsapp.com/send?text=If%20it%20seems%20easy,
You%20are%20doing%20it%20wrong."
18,Banta: Tume itna kisne mara? Santa: Mere padosi ka bacha gum gya! Banta: To tumne aisa kya keh diya? ... ? ? ? ? ? ? ? ? ? ? ? Santa: Maine kaha Google pe Search karle !,"https://api.whatsapp.com/send?text=Banta:%20Tume%20itna%20kisne%20mara?
Santa:%20Mere%20padosi%20ka%20bacha%20gum%20gya!
Banta:%20To%20tumne%20aisa%20kya%20keh%20diya?%20...
?
?
?
?
?
?
?
?
?
?
?
Santa:%20Maine%20kaha%20Google%20pe%20Search%20karle%20!"
19,"Laughing is the best the medicine. But, if you are laughing without a reason, you need medicine","https://api.whatsapp.com/send?text=Laughing%20is%20the%20best%20the%20medicine.
But,
if%20you%20are%20laughing%20without%20a%20reason,
you%20need%20medicine"
20,"A man in Hell asked Devil: Can I make a call to my Wife? After making call he asked How much pay... Devil: Nothing, hell to hell is free... :-)","https://api.whatsapp.com/send?text=A%20man%20in%20Hell%20asked%20Devil:%20Can%20I%20make%20a%20call%20to%20my%20Wife?
After%20making%20call%20he%20asked%20How%20much%20pay...
Devil:%20Nothing,%20hell%20to%20hell%20is%20free...%20:-)"
